"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.00264802764789588,0.0119770507344208,0.408371723036561,0.406801135968958,0.781461302048775,-125406.375110023
"Std.",1.95528546814214e-05,8.10160945562574e-05,0.00200122478784644,0.00159082144184008,0.00696876599788708,1.59473697397265
"Acceptance ratio",0.1824,0.13426,0.13858,0.19446,0.28808,0.64988
"0%",0.00257602055060139,0.011690682653556,0.401060209113052,0.401123770279765,0.755924319038328,-125418.076056613
"2.5%",0.00261135168453777,0.0118187295860505,0.404335514836887,0.403583520955429,0.767555821595826,-125410.336628723
"5%",0.00261622636734492,0.0118429130598287,0.405047400377317,0.404138345718842,0.769809687757871,-125409.457891327
"7.5%",0.00261987269019529,0.011859708853289,0.405475929618577,0.404485658217798,0.77124478424908,-125408.893783302
"10%",0.00262286417477375,0.0118736762874679,0.405840491262659,0.404738250453713,0.77242914975235,-125408.506192202
"12.5%",0.00262533147624543,0.0118839714580581,0.406111077591932,0.404987870308271,0.773405869543044,-125408.197549685
"15%",0.00262754129783833,0.0118922886565962,0.406322975393883,0.405162923031987,0.774286645805178,-125407.936949176
"17.5%",0.00262947736627727,0.0119005572685931,0.406521039954119,0.405339428985108,0.774995823501897,-125407.728683664
"20%",0.00263131700745359,0.0119071064115023,0.406702992082157,0.405502324073267,0.77567993449006,-125407.525638876
"22.5%",0.00263295553039396,0.011914045128134,0.406857813366047,0.405642422328913,0.776228751129796,-125407.356553163
"25%",0.0026346255453328,0.0119217535273876,0.407036560557912,0.405763395336481,0.776801577258157,-125407.196214663
"27.5%",0.0026362022147225,0.011928453699362,0.407190736277054,0.405893596218703,0.777350663082711,-125407.050631699
"30%",0.00263738323221499,0.0119346846472232,0.407339439838524,0.406011044326742,0.777865002157477,-125406.917200819
"32.5%",0.00263885075738483,0.0119404824278824,0.407471380055649,0.406110207593019,0.778378284153659,-125406.786344499
"35%",0.00264008376442734,0.0119457695898447,0.407614580875563,0.406212282883028,0.778821392085873,-125406.670018612
"37.5%",0.00264151440892675,0.0119495944893461,0.407744075337637,0.406325786436671,0.779260420356821,-125406.556200425
"40%",0.00264276873914685,0.0119551015726909,0.407886408917862,0.406411502603515,0.77971151413417,-125406.44798314
"42.5%",0.00264412023539122,0.0119615951474014,0.408010855565726,0.406507034084194,0.7802005316603,-125406.341161763
"45%",0.00264530537047521,0.0119666457917279,0.408134666583109,0.406606446896149,0.780668071899153,-125406.233875965
"47.5%",0.00264658369502278,0.0119723999511969,0.408266608691404,0.406713241672275,0.781124428764078,-125406.140127917
"50%",0.00264770964894644,0.0119776560022381,0.408417299020253,0.406812946271283,0.781532440810244,-125406.047602851
"52.5%",0.00264903652990366,0.0119827047084185,0.408537946816178,0.406916529399745,0.781963920633116,-125405.959541373
"55%",0.00265010975760454,0.0119872573159515,0.408655134802312,0.407014431347139,0.782405304243045,-125405.870310078
"57.5%",0.00265121142676356,0.0119924800249509,0.408772569798462,0.407127661049107,0.782869314395606,-125405.777431829
"60%",0.00265249450141234,0.0119982627710652,0.408906274161756,0.407213563320393,0.783311026035327,-125405.694182056
"62.5%",0.00265368230196844,0.0120036095096003,0.409025432134724,0.407309182168286,0.783735373541963,-125405.615773837
"65%",0.00265499511737818,0.0120090062638345,0.409149662561346,0.407420505174815,0.784137630023426,-125405.528990048
"67.5%",0.00265663955728273,0.0120146859913824,0.409315839955159,0.407537666546681,0.784672739974024,-125405.449568035
"70%",0.00265813410077062,0.0120204455130861,0.409464341897505,0.407637005490853,0.785156958829581,-125405.36696426
"72.5%",0.00265959322998116,0.012025587206693,0.409600243725772,0.407745107460841,0.785657870169963,-125405.284756348
"75%",0.00266117933662731,0.0120324485967212,0.409736050051293,0.407862017333653,0.786198365715768,-125405.210704855
"77.5%",0.00266281329205321,0.0120406387590721,0.409896404636289,0.407988998456613,0.786753397556332,-125405.1265272
"80%",0.00266443661805683,0.0120470228271122,0.410061449704299,0.408112842729374,0.787304701931724,-125405.033824967
"82.5%",0.0026664841056757,0.0120530466587874,0.410253153785728,0.408272509981639,0.787913505095401,-125404.947105438
"85%",0.00266843298922327,0.0120622421781501,0.410414165960275,0.408451048305159,0.788606614002713,-125404.857121417
"87.5%",0.00267076454658554,0.0120721035924802,0.410614401177901,0.408628702428269,0.789371887901164,-125404.765379621
"90%",0.00267384293031858,0.0120808895834349,0.410850515319255,0.408814630092136,0.790373508385171,-125404.665555066
"92.5%",0.00267718202988933,0.0120933183896119,0.411150971262522,0.409069019193332,0.791493611568838,-125404.550523611
"95%",0.00268116068955066,0.0121084937845873,0.41162992819021,0.409380906832914,0.792887281006814,-125404.426255469
"97.5%",0.00268709262870354,0.012128861592147,0.412216377173736,0.409841157109701,0.795136530014332,-125404.265382424
"100%",0.00273049004113085,0.0123162783826547,0.414882387996175,0.412560149017158,0.811792691318823,-125403.872033499
